Post ID,發布時間 (GMT+8),貼文連結,抓取日期,讚數,留言數,分享數,點擊數,觸及人數,影片觀看,自然觀看,付費觀看,讚,愛心,哇,哈哈,嗚嗚,怒,data_updated_at
103640919705348_1052003623790401,2025-07-12 15:30:06,https://www.facebook.com/1115814590742637/posts/1052003623790401,2025-12-16,0,0,0,25,896,0,0,0,9,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1050607690596661,2025-07-10 18:05:12,https://www.facebook.com/1115814590742637/posts/1050607690596661,2025-12-16,0,0,0,54,1885,0,0,0,30,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1049861447337952,2025-07-09 17:34:08,https://www.facebook.com/1115814590742637/posts/1049861447337952,2025-12-16,0,0,0,203,2090,0,0,0,49,2,0,0,0,0,2026-01-15 14:58:28
103640919705348_1049646100692820,2025-07-09 10:19:35,https://www.facebook.com/1115814590742637/videos/1239278807678565,2025-12-16,0,0,0,32,1923,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1049178747406222,2025-07-08 19:00:14,https://www.facebook.com/1115814590742637/posts/1049178747406222,2025-12-16,0,0,0,51,2237,0,0,0,57,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_656537630733748,2025-07-08 17:00:31,https://www.facebook.com/events/656537630733748/,2025-12-16,0,0,0,15,660,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1049071930750237,2025-07-08 15:30:03,https://www.facebook.com/1115814590742637/posts/1049071930750237,2025-12-16,0,0,0,1148,38148,0,0,0,125,2,0,2,0,2,2026-01-15 14:58:28
103640919705348_1048372330820197,2025-07-07 17:40:04,https://www.facebook.com/1115814590742637/posts/1048372330820197,2025-12-16,0,0,0,25,1173,0,0,0,19,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1365466004548152,2025-07-07 16:38:00,https://www.facebook.com/events/1365466004548152/,2025-12-16,0,0,0,27,556,0,0,0,0,0,0,0,0,0,2026-01-15 14:58:28
103640919705348_1046048367719260,2025-07-04 18:27:10,https://www.facebook.com/1115814590742637/posts/1046048367719260,2025-12-16,0,0,0,1790,16168,0,0,0,118,0,1,20,0,11,2026-01-15 14:58:28
